month,C,M,yoy_tw_revenue,yoy_us_transformer_imports,yoy_us_switchgear_imports,decision,ruleA,ruleB,ruleM
2024-03-01,1.6084173382243083,-1.288842782902663,0.16316633346740472,0.6140086096897088,0.9743299321331391,2024-05-16,False,True,False
2024-04-01,1.1395036599995225,-1.5465263556221598,0.1307304262549418,0.5440916041804045,0.6573468862502192,2024-06-16,False,True,False
2024-05-01,1.0349796219798837,-1.4439616543920117,0.1410096061454129,0.6511201048711353,0.347896332933898,2024-07-16,False,True,False
2024-06-01,0.9905766045650138,-0.6178407336592945,0.17664902331961385,0.5972047189066796,0.26714960455985937,2024-08-16,False,True,False
2024-07-01,0.8425085461976943,-0.2969951138018282,0.17909375000683525,0.5243822331473977,0.2039965300733375,2024-09-16,False,True,False
2024-08-01,0.7315888430235885,-0.3033907789562952,0.16479162196456643,0.5085641188336216,0.1549263173695794,2024-10-16,False,True,False
2024-09-01,0.8029209644119734,-0.18765564015304048,0.15308067355787003,0.5290742859634869,0.25632844891053885,2024-11-16,False,True,False
2024-10-01,0.5740674098895672,-0.26844113630812716,0.1442463514686052,0.44272823731548083,0.15302177406679784,2024-12-16,False,True,False
2024-11-01,0.6598062651101017,-0.07178257791348686,0.13760090547066217,0.4257987956345455,0.3047105030065065,2025-01-16,False,True,False
2024-12-01,0.2794030109253987,-0.5235179534865746,0.1502162334410706,0.3016227049276985,0.005884102533389557,2025-02-16,False,True,False
2025-01-01,0.6214549966827546,0.04738758679318744,0.14177560762172647,0.5969827534140697,0.0034293698675069706,2025-03-16,True,True,True
2025-02-01,0.3614917198528051,-0.29831454525729656,0.15783850144888367,0.5273445379620343,-0.2452864283520526,2025-04-16,False,True,False
2025-03-01,0.26877014478124045,-0.01063286614415826,0.09582293498194461,0.5165284307565188,-0.12006376628056348,2025-05-16,False,True,False
2025-04-01,0.1735867314311829,-0.44786826525157175,0.08199788012627462,0.43803601240166756,-0.06657597850477526,2025-06-16,False,True,False
2025-05-01,0.4316994500051452,0.07020773015234011,0.10866062922681397,0.35003886664823036,0.26674351203076263,2025-07-16,True,True,True
2025-06-01,0.530446622194861,0.2616764774136206,0.16450528191778835,0.25234179234376164,0.33161855755901515,2025-08-16,True,True,True
2025-07-01,0.5741381009023377,0.4005513694711549,0.16653484806464558,0.19490776864726578,0.460268160876133,2025-09-16,True,True,True
2025-08-01,0.4888985137965413,0.05719906379139611,0.1431060884896238,0.17012503404096768,0.48171218710255204,2025-10-16,True,True,True
2025-09-01,0.2587113027524511,-0.27173531944241,0.0920663197324485,0.15523190561219558,0.4173983566653927,2025-11-16,False,True,False
2025-10-01,0.18904921978406866,-0.3850888811182691,0.07768066724992972,0.19967030050704992,0.32390436550208657,2025-12-16,False,True,False
2025-11-01,-0.16422975143243979,-0.6531282652289812,0.06243587921365479,0.10286982538157674,0.11706914737581675,2026-01-16,False,False,True
2025-12-01,0.0888990792656601,-0.16981222348679098,0.09275771527831345,0.19642168522133163,0.16307599251603389,2026-02-16,False,True,False
2026-01-01,0.06284507621182361,-0.12620414357224505,0.11270365751767897,0.04507303013578379,0.285723849382852,2026-03-16,False,True,False
2026-02-01,0.32996827954566316,0.49419803097810294,0.08563762317583001,0.018592140350395248,0.7187289441669149,2026-04-16,True,True,True
2026-03-01,0.2540923410538442,0.1651932617881841,0.09321127501100412,-0.14722154369010076,0.8553094659806244,2026-05-16,True,True,True
2026-04-01,0.4875804981588688,0.42473542194704517,0.11438085426713651,-0.05398536055137648,0.9193342754335585,2026-06-16,True,True,True
2026-05-01,0.41105693249134484,0.08108865294568168,0.10445358862033771,0.08841363785104317,0.6594597271057314,2026-07-16,True,True,True
2026-06-01,0.32154956152495867,0.06745722047111447,0.029925593127539063,0.19357268594781374,0.664530513895198,2026-08-16,True,True,True
2026-07-01,0.13424871976493305,-0.3533317783939357,-0.010294369806086778,0.14084644284280134,0.6730708209762011,2026-09-16,False,True,False
2026-08-01,-0.5889456074045383,-1.0000025398958832,0.0023355441646177866,,,2026-10-16,False,False,True
