month,market,code,name,revenue_k_twd
2005-01-01,sii,3005,神基科技,2851843.0
2005-01-01,sii,3006,晶豪科技,420863.0
2005-01-01,sii,3007,綠點,257104.0
2005-01-01,sii,3008,大立光,192391.0
2005-01-01,sii,3009,奇美電子,8632363.0
2005-01-01,sii,3010,華立,879667.0
2005-01-01,sii,3011,今皓,149421.0
2005-01-01,sii,3012,廣輝,4360635.0
2005-01-01,sii,3013,晟銘電子,337276.0
2005-01-01,sii,3014,聯陽,168288.0
2005-01-01,sii,3015,全漢,738245.0
2005-01-01,sii,3016,嘉晶,41540.0
2005-01-01,sii,3017,奇鋐科技,736472.0
2005-01-01,sii,3018,同開科技,43592.0
2005-01-01,sii,3019,亞洲光學,556806.0
2005-01-01,sii,3020,奇普仕,1188197.0
2005-01-01,sii,3021,衛道科技,15227.0
2005-01-01,sii,3022,威達電,293625.0
2005-01-01,sii,3023,信邦電子,265833.0
2005-01-01,sii,3024,憶聲,362717.0
2005-01-01,sii,3025,星通,21440.0
2005-01-01,sii,3026,禾伸堂,956461.0
2005-01-01,sii,3027,盛達電業,73793.0
2005-01-01,sii,3028,增你強,915722.0
2005-01-01,sii,3029,零壹科技,202317.0
2005-01-01,sii,3030,德律科技,46362.0
2005-01-01,sii,3031,佰鴻工業,155373.0
2005-01-01,sii,3032,偉訓科技,215030.0
2005-01-01,sii,3033,威健,1028746.0
2005-01-01,sii,3034,聯詠,1750873.0
2005-01-01,sii,3035,智原,467157.0
2005-01-01,sii,3036,文曄科技,2435893.0
2005-01-01,sii,3037,欣興電子,1631341.0
2005-01-01,sii,3038,全台,290516.0
2005-01-01,sii,3040,遠見,88074.0
2005-01-01,sii,3041,揚智,420523.0
2005-01-01,sii,3042,晶技,273072.0
2005-01-01,sii,3043,科風,197754.0
2005-01-01,sii,3044,健鼎科技,939134.0
2005-01-01,sii,3045,台灣大,3819659.0
2005-01-01,sii,3046,建,1042868.0
2005-01-01,sii,3047,訊舟科技,142483.0
2005-01-01,sii,3048,益登,1802398.0
2005-01-01,sii,3049,和鑫,570572.0
2005-01-01,sii,3050,鈺德科技,193025.0
2005-01-01,sii,3051,力特光電,1550324.0
2005-01-01,sii,3052,夆典,343842.0
2005-01-01,sii,3053,鼎營,1149.0
2005-01-01,sii,3054,萬國,43351.0
2005-01-01,sii,3055,蔚華科技,495162.0
2005-01-01,sii,3056,駿億電子,13165.0
2005-01-01,sii,3057,喬鼎資訊,122669.0
2005-01-01,sii,3058,立德電子,312762.0
2005-01-01,sii,3059,華晶科技,538157.0
2005-01-01,sii,3060,銘異,416879.0
2005-01-01,sii,3061,璨圓光電,56651.0
2005-01-01,sii,3062,建漢科技,1046223.0
2005-01-01,sii,3063,飛信,318747.0
2005-01-01,sii,3142,遠茂光電,329558.0
2005-01-01,sii,3189,景碩科技,401381.0
2005-01-01,sii,3214,元砷光電,79108.0
2005-01-01,sii,3231,緯創,7530738.0
2005-01-01,sii,3271,其樂達,209705.0
2005-01-01,sii,3311,閎暉,162966.0
2005-01-01,sii,3356,奇偶科技,79461.0
2005-01-01,sii,3367,英華達,5734662.0
2005-01-01,sii,3380,明泰科技,1212358.0
2005-01-01,sii,3406,玉晶光,131649.0
2005-01-01,sii,3701,大眾投控,3806.0
2005-01-01,sii,4904,遠傳,3444840.0
2005-01-01,sii,4906,正文,796355.0
2005-01-01,sii,5203,訊連,140612.0
2005-01-01,sii,5305,敦南科技,633349.0
2005-01-01,sii,5434,崇越科技,533567.0
2005-01-01,sii,5469,瀚宇博德,240491.0
2005-01-01,sii,5471,松翰科技,102286.0
2005-01-01,sii,5484,慧友電子,131486.0
2005-01-01,sii,6112,聚碩,172157.0
2005-01-01,sii,6115,鎰勝,223553.0
2005-01-01,sii,6116,彩晶,3336316.0
2005-01-01,sii,6117,迎廣科技,208200.0
2005-01-01,sii,6119,大傳,542977.0
2005-01-01,sii,6128,上福全球,90704.0
2005-01-01,sii,6131,悠克電子,151682.0
2005-01-01,sii,6133,金橋科技,140959.0
2005-01-01,sii,6136,富爾特,212544.0
2005-01-01,sii,6139,亞翔工程,1003550.0
2005-01-01,sii,6141,柏承科技,163542.0
2005-01-01,sii,6142,友勁科技,537879.0
2005-01-01,sii,6145,勁永國際,1627468.0
2005-01-01,sii,6165,捷泰精密,62105.0
2005-01-01,sii,6166,凌華科技,99633.0
2005-01-01,sii,6168,宏齊科技,150687.0
2005-01-01,sii,6172,互億科技,334071.0
2005-01-01,sii,6189,豐藝電子,1264180.0
2005-01-01,sii,6192,巨路國際,372102.0
2005-01-01,sii,6196,帆宣科技,527595.0
2005-01-01,sii,6197,佳必琪,215471.0
2005-01-01,sii,6202,盛群,252498.0
2005-01-01,sii,6206,飛捷,112670.0
2005-01-01,sii,6209,今國光學,205095.0
2005-01-01,sii,6216,居易,84514.0
2005-01-01,sii,6225,天瀚,132844.0
2005-01-01,sii,6235,華孚科技,162162.0
2005-01-01,sii,6239,力成,805311.0
2005-01-01,sii,6257,矽格,106081.0
2005-01-01,sii,6269,台郡科技,205608.0
2005-01-01,sii,6277,宏正科,191933.0
2005-01-01,sii,6280,崇貿,82004.0
2005-01-01,sii,6281,全國電,1316108.0
2005-01-01,sii,6282,康舒,1160381.0
2005-01-01,sii,6285,啟眲鴔,1027020.0
2005-01-01,sii,6286,立錡,160410.0
2005-01-01,sii,6289,華上光電,178869.0
2005-01-01,sii,8008,建興電,4282152.0
2005-01-01,sii,8016,矽創電子,230548.0
2005-01-01,sii,8072,陞泰,242052.0
2005-01-01,sii,8078,華寶通訊,2663210.0
2005-01-01,sii,8101,華冠通訊,844408.0
2005-01-01,sii,8249,菱光科技,355209.0
2005-01-01,sii,9912,偉聯,297939.0
2005-01-01,sii,1436,福益,2268.0
2005-01-01,sii,2501,國建,149134.0
2005-01-01,sii,2504,國產,1050354.0
2005-01-01,sii,2505,國揚實業,3931.0
2005-01-01,sii,2506,太設,176757.0
2005-01-01,sii,2509,全坤興,54568.0
2005-01-01,sii,2511,太子,637749.0
2005-01-01,sii,2514,龍邦開發,3653.0
2005-01-01,sii,2515,中工,1215247.0
2005-01-01,sii,2516,新亞,550074.0
2005-01-01,sii,2520,冠德,12291.0
2005-01-01,sii,2523,德寶,684866.0
2005-01-01,sii,2524,京城,182243.0
2005-01-01,sii,2526,大陸工程,1036180.0
2005-01-01,sii,2527,宏璟,11820.0
2005-01-01,sii,2528,皇普建設,2952.0
2005-01-01,sii,2530,華建,13713.0
2005-01-01,sii,2534,宏盛,880.0
2005-01-01,sii,2535,達工,412304.0
2005-01-01,sii,2536,宏普建設,92047.0
2005-01-01,sii,2537,數位春池,4598.0
2005-01-01,sii,2538,基泰建設,37498.0
2005-01-01,sii,2539,櫻花建設,737.0
2005-01-01,sii,2540,金尚昌,555.0
2005-01-01,sii,2542,興富發,35069.0
2005-01-01,sii,2543,皇昌營造,463778.0
2005-01-01,sii,2545,皇翔,181852.0
2005-01-01,sii,2546,根基,250908.0
2005-01-01,sii,2547,日勝,224467.0
2005-01-01,sii,2548,華固建設,1760946.0
2005-01-01,sii,2841,台開,32931.0
2005-01-01,sii,5515,建國工程,136664.0
2005-01-01,sii,5525,順天,108382.0
2005-01-01,sii,5531,鄉林建設,250.0
2005-01-01,sii,5534,長虹,77173.0
2005-01-01,sii,2601,益航,6273.0
2005-01-01,sii,2603,長榮海運,3525352.0
2005-01-01,sii,2605,新興,98866.0
2005-01-01,sii,2606,裕民,366065.0
2005-01-01,sii,2607,榮運,395691.0
2005-01-01,sii,2608,大榮貨運,520253.0
2005-01-01,sii,2609,陽明海運,6780938.0
2005-01-01,sii,2610,華航,7970561.0
