month,code,g,z,a,r3,event_date,name,market,industry,ticker
2010-09-01,2474,2.742742206753575,2.745002610042483,2.3522841914863992,545209.0,2010-10-11,可成,sii,Other electronics,2474.TW
2011-06-01,2474,10.248486399960521,2.87450140203786,2.345587134955272,3647063.0,2011-07-11,可成,sii,Other electronics,2474.TW
2010-02-01,2475,1.3071147012697302,2.38931570577334,1.4348066787486191,17391349.0,2010-03-11,華映,sii,,2475.TW
2010-01-01,2476,0.6391833184512106,2.2524046196744254,0.8608658464171857,354298.0,2010-02-11,鉅祥,sii,Electronic components,2476.TW
2013-01-01,2476,0.9090997337992779,2.8826889564926748,1.174916781627033,511339.0,2013-02-11,鉅祥,sii,Electronic components,2476.TW
2013-07-01,2476,3.104770124901692,4.220742586340484,0.9413427716920588,1231743.0,2013-08-11,鉅祥,sii,Electronic components,2476.TW
2013-09-01,2477,2.0533389650427605,4.96334471627213,2.237707830575232,3506027.0,2013-10-11,美隆電,sii,Other electronics,2477.TW
2008-02-01,2478,0.5859837123179785,2.7466380811836015,0.3201477442070009,378587.0,2008-03-11,大毅,sii,Electronic components,2478.TW
2009-12-01,2478,0.8872968104421919,2.712534561079287,0.8792279864662578,528043.0,2010-01-11,大毅,sii,Electronic components,2478.TW
2014-09-01,2480,0.41608506200466944,3.611919607853363,0.40551513216499435,1257366.0,2014-10-11,敦陽科,sii,IT services,2480.TW
2015-04-01,2480,0.33002429928276955,2.1028827510978054,0.1495621243792702,1109481.0,2015-05-11,敦陽科,sii,IT services,2480.TW
2017-01-01,2480,0.334947935554059,2.1204913927012465,0.3938966800005643,1288425.0,2017-02-11,敦陽科,sii,IT services,2480.TW
2019-02-01,2480,0.38797700876985064,2.3714113704685897,0.2667444319618524,1452257.0,2019-03-11,敦陽科,sii,IT services,2480.TW
2009-12-01,2481,0.40746577652682636,2.5368095439813754,0.32817598420456706,1210125.0,2010-01-11,強茂,sii,Semiconductors,2481.TW
2013-02-01,2481,0.7671391118982362,3.085140177395741,0.6907653770671336,2077424.0,2013-03-11,強茂,sii,Semiconductors,2481.TW
2013-09-01,2481,1.8384398129598565,3.6164115038504336,0.30032327715577845,3761719.0,2013-10-11,強茂,sii,Semiconductors,2481.TW
2022-05-01,2482,0.7827454406465,4.265624856270102,0.9143415743978062,326492.0,2022-06-11,連宇,sii,Other electronics,2482.TW
2022-11-01,2482,1.0867572982105589,4.988531451004853,0.8140893324752705,398940.0,2022-12-11,連宇,sii,Other electronics,2482.TW
2010-01-01,2483,0.7392200837198266,3.2058728480609058,0.8847908599755344,307875.0,2010-02-11,百容,sii,Electronic components,2483.TW
2013-08-01,2483,0.7088787493455009,2.252557085496942,0.22827592869400526,434074.0,2013-09-11,百容,sii,Electronic components,2483.TW
2010-01-01,2484,0.65850159913013,2.865012147738745,0.6793713054846978,468263.0,2010-02-11,希華,sii,Electronic components,2484.TW
2010-07-01,2484,0.8110337877324174,2.568552692053684,0.4028414291268356,607399.0,2010-08-11,希華,sii,Electronic components,2484.TW
2025-09-01,2485,1.1924299651466321,3.0753265033336854,1.5205303137159387,601366.0,2025-10-11,兆赫,sii,Communications & networking,2485.TW
2026-03-01,2485,1.4960757354415515,3.2313987481119266,0.02787404481821998,1045686.0,2026-04-11,兆赫,sii,Communications & networking,2485.TW
2010-01-01,2486,1.6518042233231438,3.735100705486821,1.6476629917867058,905676.0,2010-02-11,一詮,sii,Optoelectronics,2486.TW
2013-05-01,2486,1.1158715156527252,2.0247609153143493,0.558913524020926,1862589.0,2013-06-11,一詮,sii,Optoelectronics,2486.TW
2012-12-01,2488,0.45929387423862744,2.289373632705985,0.6650967388300167,490905.0,2013-01-11,漢平,sii,Other electronics,2488.TW
2013-06-01,2488,0.7300211853783283,2.6372030670453666,0.19185638244674563,552029.0,2013-07-11,漢平,sii,Other electronics,2488.TW
2021-02-01,2488,0.7762868745689986,2.0935868473555526,0.7518604696744793,579558.0,2021-03-11,漢平,sii,Other electronics,2488.TW
2021-04-01,2491,6.154298190602281,7.751947393749608,3.103674288488283,308014.0,2021-05-11,吉祥全,sii,Optoelectronics,2491.TW
2010-01-01,2492,0.7286679776677742,2.4736842329973574,0.7875886024547963,1835472.0,2010-02-11,華新科,sii,Electronic components,2492.TW
2013-02-01,2492,0.8736297384253051,3.002432600817857,1.0253941203691275,2242628.0,2013-03-11,華新科,sii,Electronic components,2492.TW
2013-09-01,2492,1.2518527093579768,2.827834857411401,0.18001438741168396,3404137.0,2013-10-11,華新科,sii,Electronic components,2492.TW
2018-06-01,2492,1.2048185005998153,2.5693174719326346,0.7523534596186037,11323390.0,2018-07-11,華新科,sii,Electronic components,2492.TW
2009-11-01,2493,0.3935360363118343,2.794151892523613,0.914265323032285,341401.0,2009-12-11,揚博,sii,Electronic components,2493.TW
2010-06-01,2493,1.2650986481152984,2.617297451476387,0.18129453691903663,522257.0,2010-07-11,揚博,sii,Electronic components,2493.TW
2022-08-01,2495,0.31587847107891553,2.544358496741522,0.22915866166598708,383647.0,2022-09-11,普安,sii,Computers & peripherals,2495.TW
2023-03-01,2495,0.4401275697721292,2.9505131493281853,0.1296369710878078,364407.0,2023-04-11,普安,sii,Computers & peripherals,2495.TW
2026-03-01,2495,0.3507110561290958,2.418589964536107,0.3543743683908789,370134.0,2026-04-11,普安,sii,Computers & peripherals,2495.TW
2013-08-01,2497,1.3945094671929201,2.1641936172430856,0.8236414364669853,981610.0,2013-09-11,怡利電,sii,Automotive,2497.TW
2010-07-01,2498,0.7798513607854161,2.0376597963958125,0.42818270210416776,66972530.0,2010-08-11,宏達電,sii,Communications & networking,2498.TW
2011-01-01,2498,1.6784696764912628,3.1107614833625874,0.41464928508514465,105795039.0,2011-02-11,宏達電,sii,Communications & networking,2498.TW
2010-01-01,2499,1.0972202135273545,2.5173232262967797,0.550062099945128,1131077.0,2010-02-11,東貝光電,sii,,2499.TW
2012-11-01,2499,1.2094625326063313,2.041061123752254,0.7019292427771242,2458058.0,2012-12-11,東貝光電,sii,,2499.TW
2011-10-01,2501,6.0520147569401574,2.0456160333541393,6.228502832638007,4283697.0,2011-11-11,國建,sii,Construction,2501.TW
2012-04-01,2501,16.703052979773332,2.7655682243859663,6.9200693923617,1632310.0,2012-05-11,國建,sii,Construction,2501.TW
2016-11-01,2501,10.659588827353359,2.104252508075201,7.16720542177904,6202225.0,2016-12-11,國建,sii,Construction,2501.TW
2013-01-01,2504,0.8348952393873503,5.155466275922371,0.7708653989353442,4003257.0,2013-02-11,國產,sii,Construction,2504.TW
2013-07-01,2504,2.4070017927141656,3.958276768744279,0.23020623320065825,7710212.0,2013-08-11,國產,sii,Construction,2504.TW
2012-09-01,2505,14.53151820065108,3.4900109099756507,12.615017924142654,419848.0,2012-10-11,國揚,sii,Construction,2505.TW
2014-09-01,2505,25.69473612436929,5.256447819800454,26.589458064835735,391505.0,2014-10-11,國揚,sii,Construction,2505.TW
2018-10-01,2505,49.96995835812017,2.326322304282136,50.946985870615435,514083.0,2018-11-11,國揚,sii,Construction,2505.TW
2019-06-01,2505,72.76235723198003,3.3958944956128208,72.70630358287418,768530.0,2019-07-11,國揚,sii,Construction,2505.TW
2008-03-01,2506,0.9468516555124509,2.041716261630579,0.29175043365461817,640851.0,2008-04-11,太設,sii,Construction,2506.TW
2011-02-01,2506,5.290080875745446,5.170697143266542,5.893202127041114,1924922.0,2011-03-11,太設,sii,Construction,2506.TW
2012-12-01,2506,2.776960601970433,2.2720594638169547,2.0739960660465444,710756.0,2013-01-11,太設,sii,Construction,2506.TW
2020-10-01,2506,4.278433486724301,3.548015508179931,3.4640686911481864,1370730.0,2020-11-11,太設,sii,Construction,2506.TW
2015-10-01,2509,50.005383062578105,7.731898359777895,27.725566548816637,530609.0,2015-11-11,全坤建,sii,Construction,2509.TW
2008-09-01,2511,1.5050026414722453,2.028928714191471,0.43702297518650335,1550529.0,2008-10-11,太子,sii,Construction,2511.TW
2010-07-01,2511,2.095518586486599,2.43793960900733,0.8363615572389196,3048055.0,2010-08-11,太子,sii,Construction,2511.TW
2013-08-01,2511,2.2866947959027843,3.0105246668970524,1.5714745789532798,2324390.0,2013-09-11,太子,sii,Construction,2511.TW
2013-01-01,2514,279.1488357234133,8.997225951937452,279.0496857039975,7892353.0,2013-02-11,龍邦,sii,Other,2514.TW
2013-09-01,2514,739.4053964878835,3.942229027006588,231.9864983855598,20196038.0,2013-10-11,龍邦,sii,Other,2514.TW
2008-08-01,2515,0.4117133616779858,3.3233995796777425,0.48522192722660695,3423947.0,2008-09-11,中工,sii,Construction,2515.TW
2010-10-01,2515,0.3671729422768466,2.4268768240288767,0.46877118816960506,3394108.0,2010-11-11,中工,sii,Construction,2515.TW
2013-10-01,2515,0.31322346881464136,2.0205014130625956,0.38347038284118395,3067648.0,2013-11-11,中工,sii,Construction,2515.TW
2014-09-01,2515,0.5721256525144611,2.7719207563296764,0.372450680996143,4847280.0,2014-10-11,中工,sii,Construction,2515.TW
2015-03-01,2515,0.7041677750799604,3.084038007848326,1.1603772534238943,5233852.0,2015-04-11,中工,sii,Construction,2515.TW
2023-05-01,2515,0.5899162729849055,2.52329224977001,0.5293385160967385,4627879.0,2023-06-11,中工,sii,Construction,2515.TW
2013-08-01,2516,0.5629480838923182,2.4404706906375617,0.5579007952202448,2384096.0,2013-09-11,新建,sii,Construction,2516.TW
2017-01-01,2516,0.5946192519100093,2.1611085589842425,0.6356871948405639,2461003.0,2017-02-11,新建,sii,Construction,2516.TW
2008-08-01,2520,10.104046608255803,3.0454108821014656,8.824180088875977,1229329.0,2008-09-11,冠德,sii,Construction,2520.TW
2014-05-01,2520,6.732938666207537,2.0197782600513845,5.812528857723715,5030323.0,2014-06-11,冠德,sii,Construction,2520.TW
2009-10-01,2524,0.5561507347773804,2.0787378276523656,0.7147322606858278,697515.0,2009-11-11,京城,sii,Construction,2524.TW
2010-10-01,2524,0.7295900446585377,2.236175334087486,0.8749934966185341,1206415.0,2010-11-11,京城,sii,Construction,2524.TW
2012-07-01,2524,1.1433947434853104,2.775339898075932,1.7358909894745866,823593.0,2012-08-11,京城,sii,Construction,2524.TW
2013-01-01,2524,1.8938922697610558,3.452223007917437,1.0793146297561613,1867420.0,2013-02-11,京城,sii,Construction,2524.TW
2016-12-01,2524,1.2818176474046203,2.0555714665023785,0.73779933194692,1125664.0,2017-01-11,京城,sii,Construction,2524.TW
2017-06-01,2524,1.7550809890793007,2.726984024787341,1.5995552373009356,1014925.0,2017-07-11,京城,sii,Construction,2524.TW
2018-03-01,2524,1.4552054364300897,2.0844354713931708,1.3276869229127346,1078832.0,2018-04-11,京城,sii,Construction,2524.TW
2019-11-01,2524,1.5516571752449329,2.2348612845390328,0.9053652809485346,1890829.0,2019-12-11,京城,sii,Construction,2524.TW
2024-04-01,2524,1.9586679073894904,2.599358970529748,2.1564389598946545,960212.0,2024-05-11,京城,sii,Construction,2524.TW
2024-10-01,2524,2.6150209326580818,3.341885972275681,0.9093893740209089,3459134.0,2024-11-11,京城,sii,Construction,2524.TW
2012-05-01,2527,37.873186256000864,4.561373073780763,38.68902573678865,1441340.0,2012-06-11,宏璟,sii,Construction,2527.TW
2013-11-01,2527,24.289782431127943,2.0505864788984596,17.97168484002232,681155.0,2013-12-11,宏璟,sii,Construction,2527.TW
2014-08-01,2527,77.64372045914922,3.5525478603599328,73.1108800333216,4658854.0,2014-09-11,宏璟,sii,Construction,2527.TW
