code,industry,market
2461,Other electronics,sii
2464,Other electronics,sii
2474,Other electronics,sii
2477,Other electronics,sii
2482,Other electronics,sii
2488,Other electronics,sii
3018,Other electronics,sii
3030,Other electronics,sii
3043,Other electronics,sii
3305,Other electronics,sii
3518,Other electronics,sii
3617,Other electronics,sii
4585,Other electronics,sii
4588,Other electronics,sii
6139,Other electronics,sii
6192,Other electronics,sii
6196,Other electronics,sii
6201,Other electronics,sii
6215,Other electronics,sii
6283,Other electronics,sii
6409,Other electronics,sii
6438,Other electronics,sii
6558,Other electronics,sii
6658,Other electronics,sii
6691,Other electronics,sii
6698,Other electronics,sii
6722,Other electronics,sii
6743,Other electronics,sii
6830,Other electronics,sii
7631,Other electronics,sii
8021,Other electronics,sii
8201,Other electronics,sii
2616,"Oil, power & gas",sii
6505,"Oil, power & gas",sii
8926,"Oil, power & gas",sii
9908,"Oil, power & gas",sii
9918,"Oil, power & gas",sii
9926,"Oil, power & gas",sii
9931,"Oil, power & gas",sii
9937,"Oil, power & gas",sii
1316,Construction,sii
1436,Construction,sii
1438,Construction,sii
1439,Construction,sii
1442,Construction,sii
1453,Construction,sii
1456,Construction,sii
1472,Construction,sii
1805,Construction,sii
1808,Construction,sii
2442,Construction,sii
2501,Construction,sii
2504,Construction,sii
2505,Construction,sii
2506,Construction,sii
2509,Construction,sii
2511,Construction,sii
2515,Construction,sii
2516,Construction,sii
2520,Construction,sii
2524,Construction,sii
2527,Construction,sii
2528,Construction,sii
2530,Construction,sii
2534,Construction,sii
2535,Construction,sii
2536,Construction,sii
2537,Construction,sii
2538,Construction,sii
2539,Construction,sii
2540,Construction,sii
2542,Construction,sii
2543,Construction,sii
2545,Construction,sii
2546,Construction,sii
2547,Construction,sii
2548,Construction,sii
2597,Construction,sii
3052,Construction,sii
3056,Construction,sii
3266,Construction,sii
3703,Construction,sii
5515,Construction,sii
5519,Construction,sii
5521,Construction,sii
5522,Construction,sii
5525,Construction,sii
5531,Construction,sii
5533,Construction,sii
5534,Construction,sii
6177,Construction,sii
9906,Construction,sii
9946,Construction,sii
2208,Shipping,sii
2601,Shipping,sii
2603,Shipping,sii
2605,Shipping,sii
2606,Shipping,sii
2607,Shipping,sii
2608,Shipping,sii
2609,Shipping,sii
2610,Shipping,sii
2611,Shipping,sii
2612,Shipping,sii
2613,Shipping,sii
2615,Shipping,sii
2617,Shipping,sii
2618,Shipping,sii
2630,Shipping,sii
2633,Shipping,sii
2634,Shipping,sii
2636,Shipping,sii
2642,Shipping,sii
2645,Shipping,sii
2646,Shipping,sii
5607,Shipping,sii
5608,Shipping,sii
6753,Shipping,sii
6757,Shipping,sii
8367,Shipping,sii
2701,Tourism,sii
2702,Tourism,sii
2704,Tourism,sii
2705,Tourism,sii
2706,Tourism,sii
2707,Tourism,sii
2712,Tourism,sii
2722,Tourism,sii
